season,param,sub_param,mean,var
2018,intercept,home,0.020020646578868664,1.1021223549153259e-5
2018,intercept,pass,0.0058152982851027435,3.1659547896773845e-5
2018,variance,model,0.9825550596406668,1.655271129622039e-5
2018,variance,player,2.9396057258017025e-4,1.1400284200926488e-9
2018,variance,play_type,0.12211146305067226,0.3795366152763709
2018,position,WR,0.36718771959252466,0.07779701602981348
2018,position,OLB,0.5623464320375109,0.12944203868890025
2018,position,ILB,0.5808501075411208,0.11844552935401512
2018,position,TE,0.6246214413070693,0.1477826010501286
2018,position,DE,0.683419569724544,0.24264309929752406
2018,position,DT,0.6850060054050189,0.14388281358887606
2018,position,OT,0.7427620089637207,0.12636312072737016
2018,position,OG,0.8509159756832128,0.20186398875461792
2018,position,RB,0.9401835295256025,0.06167068862994718
2018,position,CB,0.9554637689842691,0.32015930356085115
2018,position,SCB,1.281415044867325,0.251388370648646
2018,position,QB,1.3659548747768429,0.29107047921157375
2018,position,SWR,1.573352019400271,0.16614777164512157
2018,position,S,1.8627508569791433,0.4779323379218339
2018,position,C,1.9400693695250415,0.26325071314343645
2019,intercept,home,0.024010583857555397,1.1254358892777489e-5
2019,intercept,pass,0.01743824378062393,3.284413680576362e-5
2019,variance,model,0.9812485074077082,1.5167231592797361e-5
2019,variance,player,3.130232855532514e-4,1.0741398514853483e-9
2019,variance,play_type,0.07219060228501568,0.08513645353205113
2019,position,DT,0.427826216114256,0.038770700262898285
2019,position,TE,0.6468813328159448,0.08141293598870278
2019,position,S,0.6541439929994225,0.12172853067970184
2019,position,QB,0.6701470054643175,0.18527143726486672
2019,position,CB,0.7325291571696452,0.28778025603036567
2019,position,OT,0.7847273945204976,0.14767310126327848
2019,position,SWR,0.8057280832725185,0.12212994893553428
2019,position,WR,0.825742155150736,0.09539374961325103
2019,position,OLB,0.9028316175660185,0.2007339482549412
2019,position,RB,1.1034667702258099,0.19512376417647748
2019,position,ILB,1.1186828967004212,0.19897875753823252
2019,position,DE,1.649652112717504,0.22676813978663865
2019,position,SCB,1.6594516769782899,0.3518964368986086
2019,position,OG,1.7776639714511728,0.23153120827000143
2019,position,C,1.9084689153655532,0.3722928937576081
