Position,n,Group,All Groups
C,431767,C,QB
DL-LB,2273,ILB,RB
DLE,172156,DE,SWR
DLiT,1792,DT,WR
DLoT,1808,DT,TE
DLT,276915,DT,OT
DRE,171863,DE,OG
DRiT,1579,DT,C
DRoT,1556,DT,DT
DRT,277776,DT,DE
FB,72638,RB,ILB
FB-iL,21,RB,OLB
FB-iR,39,RB,SCB
FB-L,17947,RB,CB
FB-oL,21,RB,OLB
FB-oR,41,RB,
FB-R,20375,RB,
FS,523642,S,
FSL,43640,S,
FSR,45698,S,
HB,281139,RB,
HB-iL,4,RB,
HB-iR,3,RB,
HB-L,69941,RB,
HB-oL,4,RB,
HB-oR,3,RB,
HB-R,66714,RB,
HB-SiL,333,SWR,
HB-SiR,424,SWR,
HB-SL,3453,SWR,
HB-SoL,181,SWR,
HB-SoR,284,SWR,
HB-SR,3019,SWR,
HB-WL,4274,WR,
HB-WR,4438,WR,
LB,21,ILB,
LB-FS,1906,S,
LB-SiL,1706,SCB,
LB-SiR,1287,SCB,
LB-SL,9250,SCB,
LB-SoL,803,SCB,
LB-SoR,535,SCB,
LB-SR,8374,SCB,
LB-WL,1526,CB,
LB-WR,1569,CB,
LCB,382108,CB,
LE,154667,DE,
LEO,78215,DE,
LG,431709,OG,
LILB,157788,ILB,
LLB,214361,ILB,
LOLB,166566,OLB,
LT,431485,OT,
LWR,371252,WR,
MFB,5,RB,
MLB,206623,ILB,
NLT,16400,DT,
NRT,17927,DT,
NT,97558,DT,
QB,431732,QB,
RCB,390112,CB,
RE,148721,DE,
REO,71558,DE,
RG,431806,OG,
RILB,159305,ILB,
RLB,208341,ILB,
ROLB,163123,OLB,
RT,431436,OT,
RWR,359805,WR,
SCBiL,18553,SCB,
SCBiR,15771,SCB,
SCBL,127149,SCB,
SCBoL,26633,SCB,
SCBoR,22202,SCB,
SCBR,135442,SCB,
SLiWR,23887,SWR,
SLoWR,26683,SWR,
SLWR,144872,SWR,
SRiWR,28307,SWR,
SRoWR,32260,SWR,
SRWR,133550,SWR,
SS,180727,ILB,
SSL,21730,OLB,
SSR,20078,OLB,
TE-F,4,TE,
TE-FL,2021,TE,
TE-FR,2194,TE,
TE-iL,21429,TE,
TE-iR,34023,TE,
TE-L,131989,TE,
TE-oL,21464,TE,
TE-oR,34031,TE,
TE-R,173815,TE,
TE-SiL,4162,SWR,
TE-SiR,5936,SWR,
TE-SL,18590,SWR,
TE-SoL,1483,SWR,
TE-SoR,2106,SWR,
TE-SR,26604,SWR,
TE-WL,6235,WR,
TE-WR,7477,WR,
ATH,,ST,
DB,,S,
DL,,DT,
G,,OG,
K,,ST,
KR,,ST,
LS,,ST,
OL,,OG,
P,,ST,
PR,,ST,
